pathway_id	pathway_name	genes
9748787	Azathioprine ADME	ABCC4,ABCC5,GMPS,GSTA1,GSTA2,GSTM1,GUK1,HPRT1,IMPDH1,IMPDH2,NME1,NME2,NUDT15,RAC1,SLC28A2,SLC28A3,SLC29A1,SLC29A2,TPMT,VAV1,VAV2,VAV3,XDH
114508	Effects of PIP2 hydrolysis	ABHD12,ABHD6,DAGLA,DAGLB,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKK,DGKQ,DGKZ,ITPR1,ITPR2,ITPR3,MGLL,PRKCD,PRKCE,PRKCH,PRKCQ,RASGRP1,RASGRP2,TRPC3,TRPC6,TRPC7
8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	APP,BCL2L11,CAPN1,CAPN2,CAPNS1,CAPNS2,CAST,CDC25A,CDC25B,CDC25C,CDK5,CDK5R1,FASLG,FOXO3,GOLGA2,JUN,LMNA,LMNB1,PRDX1,PRDX2,SOD2,YWHAE
68877	Mitotic Prometaphase	ACTR1A,AHCTF1,AKAP9,ALMS1,APITD1,AURKB,B9D2,BIRC5,BUB1,BUB1B,BUB3,CCNB1,CCNB2,CCP110,CDC20,CDCA5,CDCA8,CDK1,CDK5RAP2,CENPA,CENPC,CENPE,CENPF,CENPH,CENPI,CENPJ,CENPK,CENPL,CENPM,CENPN,CENPO,CENPP,CENPQ,CENPT,CENPU,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP43,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CKAP5,CLASP1,CLASP2,CLIP1,CNTRL,CSNK1D,CSNK1E,CSNK2A1,CSNK2A2,CSNK2B,DCTN1,DCTN2,DCTN3,DSN1,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,EML4,ERCC6L,FIRRM,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HDAC8,HSP90AA1,INCENP,ITGB3BP,KIF18A,KIF2A,KIF2B,KIF2C,KNL1,KNTC1,MAD1L1,MAD2L1,MAPRE1,MIS12,MZT1,MZT2A,MZT2B,NCAPD2,NCAPG,NCAPH,NDC80,NDE1,NDEL1,NEDD1,NEK2,NEK6,NEK7,NEK9,NINL,NME7,NSL1,NUDC,NUF2,NUMA1,NUP107,NUP133,NUP160,NUP37,NUP43,NUP85,NUP98,ODF2,OFD1,PAFAH1B1,PCM1,PCNT,PDS5A,PDS5B,PLK1,PLK4,PMF1,PPP1CC,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E,PRKACA,PRKAR2B,RAD21,RANBP2,RANGAP1,RCC2,RPS27,SDCCAG8,SEC13,SEH1L,SFI1,SGO1,SGO2,SKA1,SKA2,SMC1A,SMC2,SMC3,SMC4,SPC24,SPC25,SPDL1,SSNA1,STAG1,STAG2,TAOK1,TUBA1A,TUBA4A,TUBB,TUBB4A,TUBB4B,TUBG1,TUBG2,TUBGCP2,TUBGCP3,TUBGCP4,TUBGCP5,TUBGCP6,WAPL,XPO1,YWHAE,YWHAG,ZW10,ZWILCH,ZWINT
1237044	Erythrocytes take up carbon dioxide and release oxygen	AQP1,CA1,CA2,CA4,CYB5R1,CYB5R2,CYB5R4,CYB5RL,HBA1,HBB,RHAG,SLC4A1
68875	Mitotic Prophase	AAAS,ARPP19,BANF1,BLZF1,CCNB1,CCNB2,CDK1,CNEP1R1,CTDNEP1,EMD,ENSA,GOLGA2,GORASP1,GORASP2,H2AB1,H2AC14,H2AC18,H2AC20,H2AC4,H2AC6,H2AC7,H2AFX,H2AJ,H2AZ2,H2BC1,H2BC11,H2BC12,H2BC12L,H2BC13,H2BC14,H2BC15,H2BC17,H2BC21,H2BC26,H2BC3,H2BC4,H2BC5,H2BC9,H3-3A,H3-4,H3C15,H4C1,HIST1H3G,KMT5A,LEMD2,LEMD3,LMNA,LMNB1,LPIN1,LPIN2,LPIN3,MAPK1,MAPK3,MASTL,MCPH1,NCAPD3,NCAPG2,NCAPH2,NDC1,NEK6,NEK7,NEK9,NUMA1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PHF8,PLK1,POM121,POM121C,PPP2CA,PPP2CB,PPP2R1A,PPP2R1B,PPP2R2D,PRKCA,PRKCB,RAB1A,RAB1B,RAB2A,RAE1,RANBP2,RB1,SEC13,SEH1L,SET,SMC2,SMC4,TMPO,TPR,USO1,VRK1,VRK2
1181150	Signaling by NODAL	ACVR1B,ACVR1C,ACVR2A,ACVR2B,CER1,CFC1,DAND5,DRAP1,FOXH1,FOXO3,FURIN,GDF1,LEFTY1,LEFTY2,MAPK1,MAPK3,NODAL,PCSK6,SMAD2,SMAD3,SMAD4,TDGF1,TDGF1P3
1630316	Glycosaminoglycan metabolism	ABCC5,ACAN,AGRN,ARSB,B3GALT6,B3GAT1,B3GAT2,B3GAT3,B3GNT2,B3GNT3,B3GNT4,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GALT5,B4GALT6,B4GALT7,B4GAT1,BCAN,BGN,CD44,CEMIP,CHP1,CHPF,CHPF2,CHST1,CHST11,CHST12,CHST13,CHST14,CHST15,CHST2,CHST3,CHST5,CHST6,CHST7,CHST9,CHSY1,CHSY3,CSGALNACT1,CSGALNACT2,CSPG4,CSPG5,DCN,DSE,DSEL,EXT1,EXT2,FMOD,GLB1,GLB1L,GLB1L2,GLB1L3,GLCE,GNS,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,GUSB,HAS1,HAS2,HAS3,HEXA,HEXB,HMMR,HPSE,HPSE2,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST3B1,HS3ST4,HS3ST5,HS3ST6,HS6ST1,HS6ST2,HS6ST3,HSPG2,HYAL1,HYAL2,HYAL3,IDS,IDUA,KERA,LUM,LYVE1,NAGLU,NCAN,NDST1,NDST2,NDST3,NDST4,OGN,OMD,PAPSS1,PAPSS2,PRELP,SDC1,SDC2,SDC3,SDC4,SGSH,SLC26A1,SLC26A2,SLC35B2,SLC35B3,SLC35D2,SLC9A1,ST3GAL1,ST3GAL2,ST3GAL3,ST3GAL4,ST3GAL6,STAB2,UST,UXS1,VCAN,XYLT1,XYLT2
1632852	Macroautophagy	AMBRA1,ARL13B,ATG10,ATG101,ATG12,ATG13,ATG14,ATG16L1,ATG3,ATG4A,ATG4B,ATG4C,ATG4D,ATG5,ATG7,ATG9A,ATG9B,ATM,BECN1,CETN1,CFTR,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,CSNK2A1,CSNK2A2,CSNK2B,DYNC1H1,DYNC1I1,DYNC1I2,DYNC1LI1,DYNC1LI2,DYNLL1,DYNLL2,EPAS1 (HIF2A),FUNDC1,GABARAP,GABARAPL1,GABARAPL2,GABARAPL3,HDAC6,HSF1,HSP90AA1,HSPA8,IFT88,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,MAP1LC3A,MAP1LC3B,MAP1LC3C,MFN1,MFN2,MLST8,MTERF3,MTMR14,MTMR3,MTOR,NBR1,OPTN,PARK2,PARK7,PCNT,PEX5,PGAM5,PIK3C3,PIK3R4,PINK1,PLIN2,PLIN3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKAG1,PRKAG2,PRKAG3,RB1CC1,RHEB,RPS27A,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SLC38A9,SQSTM1,SRC,TBK1,TOMM20,TOMM22,TOMM40,TOMM5,TOMM6,TOMM7,TOMM70,TSC1,TSC2,UBA52,UBB,UBC,UBE2D2,UBE2D3,UBE2L3,UBE2N,UBE2V1,ULK1,USP30,UVRAG,VCP,VDAC1,VDAC2,VDAC3,WDR45,WDR45B,WIPI1,WIPI2
5669034	TNFs bind their physiological receptors	CD27,CD70,EDA,EDA2R,EDAR,EDARADD,LTA,TNFRSF11B,TNFRSF13B,TNFRSF14,TNFRSF17,TNFRSF18,TNFRSF1A,TNFRSF1B,TNFRSF25,TNFRSF4,TNFRSF6B,TNFRSF8,TNFRSF9,TNFSF11,TNFSF13,TNFSF13B,TNFSF14,TNFSF15,TNFSF18,TNFSF4,TNFSF6,TNFSF8,TNFSF9
